idJurisdicao,nome,ativo,idOrgaoPje,id,table
241,25º Vara Cível da Comarca de Natal - Execução de Título Extrajudicial (Inativo),False,353,1201,orgao_julgador
241,Juizado Itinerante - INATIVO,False,354,1202,orgao_julgador
186,CEJUSC AREIA BRANCA,False,355,1203,orgao_julgador
241,CEJUSC ASSU,False,356,1204,orgao_julgador
185,CEJUSC APODI,False,357,1205,orgao_julgador
192,CEJUSC CEARÁ-MIRIM,False,358,1206,orgao_julgador
204,CEJUSC MACAÍBA,False,359,1207,orgao_julgador
211,CEJUSC NOVA CRUZ,False,360,1208,orgao_julgador
219,CEJUSC SANTA CRUZ,False,361,1209,orgao_julgador
223,CEJUSC SÃO GONÇALO DO AMARANTE,False,362,1210,orgao_julgador
241,CEJUSC SAÚDE,False,363,1211,orgao_julgador
209,Juizado da Violência Doméstica e Familiar Contra a Mulher da Comarca de Mossoró,True,364,1212,orgao_julgador
241,1º Juizado da Violência Doméstica e Familiar Contra a Mulher da Comarca de Natal,True,365,1213,orgao_julgador
241,2º Juizado da Violência Doméstica e Familiar Contra a Mulher da Comarca de Natal,True,366,1214,orgao_julgador
241,3º Juizado da Violência Doméstica e Familiar Contra a Mulher da Comarca de Natal,True,367,1215,orgao_julgador
213,Juizado da Violência Doméstica e Familiar Contra a Mulher da Comarca de Parnamirim,True,368,1216,orgao_julgador
213,1º Vara Criminal da Comarca de Parnamirim,True,369,1217,orgao_julgador
213,2º Vara Criminal da Comarca de Parnamirim,True,370,1218,orgao_julgador
209,1º Vara Criminal da Comarca de Mossoró,True,371,1219,orgao_julgador
209,2º Vara Criminal da Comarca de Mossoró,True,372,1220,orgao_julgador
209,3º Vara Criminal da Comarca de Mossoró,True,373,1221,orgao_julgador
241,1º Vara Criminal da Comarca de Natal,True,374,1222,orgao_julgador
241,2º Vara Criminal da Comarca de Natal,True,375,1223,orgao_julgador
241,3º Vara Criminal da Comarca de Natal,True,376,1224,orgao_julgador
241,4º Vara Criminal da Comarca de Natal,True,377,1225,orgao_julgador
243,Plantão Diurno Criminal Região II,True,378,1226,orgao_julgador
244,Plantão Criminal Noturno,False,379,1227,orgao_julgador
241,5º Vara Criminal da Comarca de Natal,True,380,1228,orgao_julgador
241,6º Vara Criminal da Comarca de Natal,True,381,1229,orgao_julgador
241,7º Vara Criminal da Comarca de Natal,True,382,1230,orgao_julgador
241,8º Vara Criminal da Comarca de Natal,True,383,1231,orgao_julgador
241,9º Vara Criminal da Comarca de Natal,True,384,1232,orgao_julgador
241,10º Vara Criminal da Comarca de Natal,True,385,1233,orgao_julgador
241,12º Vara Criminal da Comarca de Natal,True,386,1234,orgao_julgador
241,13º Vara Criminal da Comarca de Natal,True,387,1235,orgao_julgador
241,16º Vara Criminal da Comarca de Natal,False,388,1236,orgao_julgador
241,15º Vara Criminal da Comarca de Natal,True,389,1237,orgao_julgador
241,11º Vara Criminal da Comarca de Natal,True,390,1238,orgao_julgador
241,Juizado Especial Criminal da Comarca de Natal,False,391,1239,orgao_julgador
241,1º Central de Flagrantes da Comarca de Natal,False,392,1240,orgao_julgador
241,2º Central de Flagrantes da Comarca de Natal,False,393,1241,orgao_julgador
241,Central de Flagrantes Pólo Mossoró,False,394,1242,orgao_julgador
241,Central de Flagrantes Pólo Caicó,False,395,1243,orgao_julgador
241,Central de Flagrantes Pólo Pau dos Ferros,False,396,1244,orgao_julgador
241,14º Vara Criminal da Comarca de Natal,True,398,1245,orgao_julgador
241,6º Juizado Especial Cível da Comarca de Natal,True,399,1246,orgao_julgador
241,1º Juizado Especial Criminal e de Trânsito da Comarca de Natal,True,400,1247,orgao_julgador
241,2º Juizado Especial Criminal e de Tránsito da Comarca de Natal,True,401,1248,orgao_julgador
209,5º Juizado Especial Cível e Criminal da Comarca de Mossoró,True,402,1249,orgao_julgador
209,5º Juizado Especial da Fazenda Pública da Comarca de Mossoró,True,403,1250,orgao_julgador
